North Carolina, Precipitation, May
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189505,4.45,0.40
189605,4.62,0.57
189705,3.94,-0.11
189805,4.19,0.14
189905,3.59,-0.46
190005,2.72,-1.33
190105,8.16,4.11
190205,2.55,-1.50
190305,2.23,-1.82
190405,3.27,-0.78
190505,6.71,2.66
190605,3.04,-1.01
190705,4.60,0.55
190805,4.19,0.14
190905,5.57,1.52
191005,5.22,1.17
191105,1.25,-2.80
191205,4.60,0.55
191305,4.34,0.29
191405,1.49,-2.56
191505,5.83,1.78
191605,5.04,0.99
191705,3.07,-0.98
191805,3.94,-0.11
191905,5.37,1.32
192005,1.68,-2.37
192105,4.70,0.65
192205,5.15,1.10
192305,3.95,-0.10
192405,5.74,1.69
192505,3.05,-1.00
192605,1.55,-2.50
192705,2.52,-1.53
192805,4.95,0.90
192905,6.52,2.47
193005,3.03,-1.02
193105,5.00,0.95
193205,3.82,-0.23
193305,4.48,0.43
193405,4.64,0.59
193505,3.44,-0.61
193605,0.86,-3.19
193705,2.09,-1.96
193805,4.76,0.71
193905,2.93,-1.12
194005,3.87,-0.18
194105,1.09,-2.96
194205,4.88,0.83
194305,3.72,-0.33
194405,2.83,-1.22
194505,3.34,-0.71
194605,5.56,1.51
194705,2.78,-1.27
194805,4.88,0.83
194905,4.75,0.70
195005,5.66,1.61
195105,1.61,-2.44
195205,3.48,-0.57
195305,3.30,-0.75
195405,4.06,0.01
195505,3.81,-0.24
195605,3.40,-0.65
195705,3.95,-0.10
195805,4.86,0.81
195905,3.25,-0.80
196005,4.06,0.01
196105,4.56,0.51
196205,2.49,-1.56
196305,4.02,-0.03
196405,1.97,-2.08
196505,2.94,-1.11
196605,5.66,1.61
196705,4.26,0.21
196805,3.80,-0.25
196905,3.27,-0.78
197005,2.77,-1.28
197105,5.26,1.21
197205,6.19,2.14
197305,4.87,0.82
197405,6.38,2.33
197505,5.69,1.64
197605,6.04,1.99
197705,4.01,-0.04
197805,4.65,0.60
197905,5.83,1.78
198005,4.06,0.01
198105,4.88,0.83
198205,3.79,-0.26
198305,3.68,-0.37
198405,6.75,2.70
198505,3.34,-0.71
198605,3.04,-1.01
198705,2.15,-1.90
198805,3.67,-0.38
198905,5.08,1.03
199005,6.47,2.42
199105,3.14,-0.91
199205,4.35,0.30
199305,2.97,-1.08
199405,2.73,-1.32
199505,4.02,-0.03
199605,3.73,-0.32
199705,2.15,-1.90
199805,4.58,0.53
199905,2.78,-1.27
200005,2.70,-1.35
200105,3.27,-0.78
200205,2.79,-1.26
200305,7.46,3.41
200405,3.99,-0.06
200505,3.58,-0.47
200605,3.23,-0.82
200705,1.75,-2.30
200805,2.94,-1.11
200905,5.87,1.82
201005,4.68,0.63
201105,3.14,-0.91
201205,6.24,2.19
201305,3.96,-0.09
201405,3.62,-0.43
201505,2.62,-1.43
201605,5.57,1.52
201705,5.95,1.90
201805,6.79,2.74
201905,2.28,-1.77
202005,7.62,3.57
202105,2.47,-1.58
