North Carolina, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189502,30.8,-11.3
189602,42.3,0.2
189702,44.4,2.3
189802,39.3,-2.8
189902,36.3,-5.8
190002,39.0,-3.1
190102,37.0,-5.1
190202,34.6,-7.5
190302,44.0,1.9
190402,37.0,-5.1
190502,33.0,-9.1
190602,40.4,-1.7
190702,38.5,-3.6
190802,37.8,-4.3
190902,47.0,4.9
191002,39.9,-2.2
191102,45.1,3.0
191202,36.8,-5.3
191302,42.2,0.1
191402,38.1,-4.0
191502,43.8,1.7
191602,41.9,-0.2
191702,40.8,-1.3
191802,45.7,3.6
191902,40.6,-1.5
192002,38.0,-4.1
192102,44.3,2.2
192202,46.4,4.3
192302,39.8,-2.3
192402,39.0,-3.1
192502,48.0,5.9
192602,44.4,2.3
192702,50.1,8.0
192802,41.7,-0.4
192902,39.7,-2.4
193002,46.4,4.3
193102,43.0,0.9
193202,48.8,6.7
193302,43.3,1.2
193402,34.8,-7.3
193502,42.5,0.4
193602,37.4,-4.7
193702,41.4,-0.7
193802,47.0,4.9
193902,47.9,5.8
194002,41.2,-0.9
194102,36.4,-5.7
194202,37.4,-4.7
194302,43.3,1.2
194402,44.5,2.4
194502,43.5,1.4
194602,43.9,1.8
194702,35.4,-6.7
194802,42.0,-0.1
194902,48.3,6.2
195002,45.5,3.4
195102,43.2,1.1
195202,43.9,1.8
195302,45.2,3.1
195402,46.0,3.9
195502,42.3,0.2
195602,45.9,3.8
195702,47.0,4.9
195802,34.5,-7.6
195902,43.7,1.6
196002,40.2,-1.9
196102,44.5,2.4
196202,44.5,2.4
196302,35.8,-6.3
196402,38.4,-3.7
196502,41.1,-1.0
196602,40.2,-1.9
196702,38.5,-3.6
196802,34.8,-7.3
196902,39.5,-2.6
197002,40.4,-1.7
197102,41.4,-0.7
197202,40.0,-2.1
197302,39.2,-2.9
197402,43.1,1.0
197502,45.4,3.3
197602,49.0,6.9
197702,39.9,-2.2
197802,33.3,-8.8
197902,35.8,-6.3
198002,36.4,-5.7
198102,42.1,0.0
198202,44.4,2.3
198302,40.7,-1.4
198402,45.2,3.1
198502,41.4,-0.7
198602,44.6,2.5
198702,40.0,-2.1
198802,41.0,-1.1
198902,43.3,1.2
199002,49.4,7.3
199102,45.4,3.3
199202,45.8,3.7
199302,40.0,-2.1
199402,43.2,1.1
199502,40.0,-2.1
199602,41.8,-0.3
199702,46.0,3.9
199802,45.6,3.5
199902,44.8,2.7
200002,45.6,3.5
200102,46.4,4.3
200202,44.4,2.3
200302,41.4,-0.7
200402,40.4,-1.7
200502,43.8,1.7
200602,42.1,0.0
200702,39.1,-3.0
200802,46.2,4.1
200902,42.8,0.7
201002,36.9,-5.2
201102,45.7,3.6
201202,45.8,3.7
201302,41.8,-0.3
201402,43.0,0.9
201502,34.9,-7.2
201602,43.2,1.1
201702,50.7,8.6
201802,51.9,9.8
201902,48.1,6.0
202002,47.0,4.9
202102,42.1,0.0
