,1895:1943 Average Precipitation,1895:1943 Max Precipitation,1895:1943 Min Precipitation,1895:1943 Average Temperature,1895:1943 Max Average Monthly Temperature,1895:1943 Min Average Monthly Temperature,1972:2020 Average Precipitation,1972:2020 Max Precipitation,1972:2020 Min Precipitation,1972:2020 Average Temperature,1972:2020 Max Average Monthly Temperature,1972:2020 Min Average Monthly Temperature,Month
0,3.603541666666666,7.79,0.82,40.449999999999996,50.5,28.8,3.9906382978723403,7.68,1.05,39.846808510638304,50.1,28.4,January
1,3.9293750000000003,7.78,0.93,41.41041666666667,50.1,33.0,3.5065957446808516,7.01,1.0,43.16595744680851,51.9,33.3,February
2,4.182708333333333,7.28,1.67,49.458333333333336,58.3,40.8,4.275319148936171,7.3,1.44,50.159574468085104,58.7,44.0,March
3,3.5733333333333337,6.51,1.05,57.35208333333335,62.0,50.8,3.64531914893617,6.5,0.73,58.64042553191488,63.9,53.8,April
4,3.915625,8.16,0.86,66.8,72.7,62.0,4.255531914893617,7.62,1.75,66.54468085106383,72.2,62.1,May
5,4.79375,8.18,2.06,73.95833333333333,78.3,69.6,4.501489361702127,9.74,1.41,73.94893617021278,78.8,69.8,June
6,6.094583333333333,9.59,2.73,77.01458333333333,79.7,73.5,5.060638297872341,8.69,2.26,77.55319148936168,80.7,74.6,July
7,5.432291666666667,11.72,2.53,75.86666666666666,80.2,72.7,5.039574468085107,8.45,1.9,76.2468085106383,80.6,73.4,August
8,3.855625,11.5,1.27,70.81666666666666,76.7,65.6,4.948297872340427,13.22,1.31,70.40851063829787,76.2,67.0,September
9,3.109583333333333,7.96,0.95,59.981249999999996,69.0,55.1,3.576595744680851,8.26,0.08,59.72978723404255,65.6,53.6,October
10,2.613541666666667,5.17,0.66,48.93958333333333,54.6,42.8,3.4568085106382984,7.2,0.91,50.463829787234054,58.8,43.2,November
11,3.8383333333333334,6.86,1.55,41.262499999999996,49.2,31.8,3.8263829787234043,7.31,1.05,42.94255319148936,54.7,33.4,December
